Z	A	Isomer	Sym	5	8	10	15	20	25	30	40	50	60	80	100(keV); reaction rate including SEF in cm3/mole/s
74	185		W	9.75e+7	-	9.08e+7	8.62e+7	8.27e+7	7.99e+7	7.77e+7	7.44e+7	7.23e+7	7.14e+7	7.01e+7	6.94e+7	
74	186		W	3.57e+7	-	3.15e+7	3.10e+7	3.16e+7	3.29e+7	3.48e+7	3.61e+7	4.05e+7	4.28e+7	4.71e+7	5.13e+7	
75	185		Re	2.04e+8	-	1.84e+8	1.98e+8	2.08e+8	2.17e+8	2.23e+8	2.32e+8	2.39e+8	2.44e+8	2.52e+8	2.57e+8	
75	186		Re	1.85e+8	-	1.80e+8	1.99e+8	2.13e+8	2.24e+8	2.34e+8	2.51e+8	2.65e+8	2.74e+8	2.82e+8	2.82e+8	
75	187		Re	2.23e+8	-	1.67e+8	1.66e+8	1.67e+8	1.67e+8	1.68e+8	1.69e+8	1.69e+8	1.68e+8	1.67e+8	1.65e+8	
76	184		Os	9.27e+7	-	8.56e+7	8.39e+7	8.44e+7	8.61e+7	8.88e+7	9.53e+7	1.02e+8	1.08e+8	1.18e+8	1.28e+8	
76	186		Os	6.56e+7	5.91e+7	5.73e+7	5.59e+7	5.68e+7	5.90e+7	6.17e+7	6.82e+7	7.41e+7	7.90e+7	8.70e+7	9.37e+7	
76	187		Os	2.26e+8	1.94e+8	1.95e+8	1.83e+8	1.75e+8	1.71e+8	1.67e+8	1.63e+8	1.61e+8	1.59e+8	1.58e+8	1.59e+8	
76	188		Os	4.52e+7	4.00e+7	3.87e+7	3.82e+7	3.93e+7	4.11e+7	4.32e+7	4.78e+7	5.24e+7	5.63e+7	6.34e+7	6.91e+7	
76	189		Os	2.60e+8	-	2.17e+8	2.03e+8	1.96e+8	1.91e+8	1.87e+8	1.81e+8	1.77e+8	1.73e+8	1.66e+8	1.61e+8	
76	190		Os	4.03e+7	-	3.78e+7	3.77e+7	3.82e+7	3.91e+7	4.00e+7	4.22e+7	4.44e+7	4.66e+7	5.05e+7	5.33e+7	
76	191		Os	1.94e+8	-	1.88e+8	1.86e+8	1.85e+8	1.84e+8	1.83e+8	1.79e+8	1.74e+8	1.68e+8	1.57e+8	1.47e+8	
76	192		Os	2.47e+7	-	2.26e+7	2.21e+7	2.21e+7	2.23e+7	2.26e+7	2.34e+7	2.42e+7	2.48e+7	2.60e+7	2.67e+7	
77	191		Ir	2.64e+8	-	2.39e+8	2.29e+8	2.23e+8	2.20e+8	2.19e+8	2.15e+8	2.13e+8	2.12e+8	2.12e+8	2.13e+8	
77	192		Ir	2.56e+8	-	2.38e+8	2.60e+8	2.76e+8	2.88e+8	2.97e+8	3.08e+8	3.14e+8	3.16e+8	3.17e+8	3.15e+8	
77	193		Ir	1.84e+8	-	1.68e+8	1.59e+8	1.54e+8	1.52e+8	1.52e+8	1.53e+8	1.54e+8	1.55e+8	1.59e+8	1.64e+8	
78	190		Pt	7.67e+7	-	7.16e+7	7.07e+7	7.11e+7	7.23e+7	7.38e+7	7.75e+7	8.15e+7	8.60e+7	9.64e+7	1.07e+8	
78	192		Pt	8.03e+7	-	7.89e+7	8.00e+7	8.17e+7	8.35e+7	8.57e+7	9.02e+7	9.51e+7	1.00e+8	1.12e+8	1.23e+8	
78	193		Pt	2.18e+8	-	1.88e+8	1.98e+8	2.05e+8	2.10e+8	2.14e+8	2.19e+8	2.23e+8	2.26e+8	2.34e+8	2.41e+8	
78	194		Pt	5.18e+7	-	5.01e+7	5.02e+7	5.12e+7	5.20e+7	5.30e+7	5.54e+7	5.78e+7	6.04e+7	6.58e+7	7.09e+7	
78	195		Pt	1.28e+8	-	1.25e+8	1.24e+8	1.25e+8	1.25e+8	1.25e+8	1.25e+8	1.24e+8	1.24e+8	1.24e+8	1.24e+8	
78	196		Pt	2.88e+7	-	2.65e+7	2.60e+7	2.60e+7	2.62e+7	2.66e+7	2.75e+7	2.86e+7	2.97e+7	3.20e+7	3.38e+7	
78	198		Pt	1.67e+7	-	1.46e+7	1.38e+7	1.35e+7	1.34e+7	1.34e+7	1.36e+7	1.40e+7	1.43e+7	1.50e+7	1.58e+7	
79	197		Au	1.22e+8	-	1.01e+8	9.26e+7	8.79e+7	8.48e+7	8.28e+7	8.01e+7	7.85e+7	7.79e+7	7.76e+7	7.86e+7	
79	198		Au	1.25e+8	-	1.06e+8	1.12e+8	1.15e+8	1.16e+8	1.17e+8	1.15e+8	1.12e+8	1.08e+8	9.90e+7	9.01e+7	
80	196		Hg	3.44e+7	-	3.03e+7	2.96e+7	2.94e+7	2.96e+7	2.96e+7	2.98e+7	3.00e+7	3.02e+7	3.08e+7	3.14e+7	
80	198		Hg	3.49e+7	-	2.67e+7	2.46e+7	2.43e+7	2.47e+7	2.51e+7	2.67e+7	2.81e+7	2.98e+7	3.33e+7	3.68e+7	
80	199		Hg	7.99e+7	-	6.33e+7	5.65e+7	5.54e+7	5.46e+7	5.46e+7	5.53e+7	5.59e+7	5.60e+7	5.59e+7	5.65e+7	
80	200		Hg	1.92e+7	-	1.66e+7	1.59e+7	1.60e+7	1.63e+7	1.67e+7	1.78e+7	1.86e+7	1.94e+7	2.06e+7	2.18e+7	
80	201		Hg	5.02e+7	-	4.34e+7	3.98e+7	3.76e+7	3.61e+7	3.49e+7	3.36e+7	3.27e+7	3.23e+7	3.08e+7	3.09e+7	
80	202		Hg	9.43e+6	-	8.97e+6	8.89e+6	8.94e+6	9.05e+6	9.18e+6	9.41e+6	9.75e+6	1.00e+7	1.06e+7	1.08e+7	
80	203		Hg	2.19e+7	-	1.80e+7	1.59e+7	1.44e+7	1.32e+7	1.24e+7	1.11e+7	1.02e+7	9.60e+6	8.99e+6	8.64e+6	
80	204		Hg	5.83e+6	-	5.94e+6	5.93e+6	6.07e+6	6.08e+6	6.10e+6	6.39e+6	6.64e+6	6.74e+6	7.14e+6	7.25e+6	
81	203		Tl	2.25e+7	-	2.57e+7	2.20e+7	1.98e+7	1.86e+7	1.80e+7	1.56e+7	1.42e+7	1.29e+7	1.18e+7	1.05e+7	
81	204		Tl	5.18e+7	-	3.45e+7	3.25e+7	3.19e+7	3.15e+7	3.11e+7	3.02e+7	2.93e+7	2.83e+7	2.65e+7	2.49e+7	
81	205		Tl	6.05e+6	-	7.46e+6	7.60e+6	7.71e+6	7.69e+6	7.83e+6	7.68e+6	7.42e+6	7.05e+6	5.69e+6	3.75e+6	
82	204		Pb	1.85e+7	1.54e+7	1.42e+7	1.25e+7	1.19e+7	1.17e+7	1.18e+7	1.24e+7	1.31e+7	1.31e+7	1.29e+7	1.27e+7	
82	205		Pb	3.48e+7	-	2.15e+7	1.91e+7	1.80e+7	1.73e+7	1.68e+7	1.60e+7	1.55e+7	1.50e+7	1.43e+7	1.38e+7	
82	206		Pb	1.24e+6	-	1.63e+6	1.80e+6	1.90e+6	2.00e+6	2.11e+6	2.31e+6	2.47e+6	2.61e+6	2.82e+6	3.05e+6	
82	207		Pb	9.60e+5	1.06e+6	1.15e+6	1.30e+6	1.42e+6	1.44e+6	1.44e+6	1.39e+6	1.31e+6	1.25e+6	1.26e+6	1.27e+6	
82	208		Pb	3.44e+3	-	9.89e+3	2.03e+4	3.18e+4	4.24e+4	5.23e+4	6.61e+4	7.69e+4	8.44e+4	9.37e+4	9.70e+4	
83	209		Bi	7.68e+5	6.42e+5	5.87e+5	4.99e+5	4.02e+5	3.80e+5	3.72e+5	3.67e+5	3.64e+5	3.78e+5	4.15e+5	4.43e+5	
83	210		Bi	1.22e+6	-	1.15e+6	1.41e+6	1.78e+6	2.39e+6	2.59e+6	3.01e+6	3.72e+6	3.41e+6	3.98e+6	3.20e+6	
