Z	A	Isomer	Sym	5	8	10	15	20	25	30	40	50	60	80	100(keV); reaction rate including SEF in cm3/mole/s
23	51		V	1.35e+7	-	1.04e+7	8.27e+6	6.93e+6	6.14e+6	5.56e+6	4.90e+6	4.53e+6	4.33e+6	4.27e+6	4.47e+6	
24	50		Cr	1.37e+7	-	1.06e+7	9.00e+6	8.12e+6	7.61e+6	7.17e+6	6.59e+6	6.23e+6	6.00e+6	5.49e+6	5.07e+6	
24	51		Cr	2.62e+7	-	1.74e+7	1.51e+7	1.40e+7	1.32e+7	1.27e+7	1.22e+7	1.17e+7	1.14e+7	1.10e+7	1.07e+7	
24	52		Cr	6.15e+5	-	7.51e+5	9.41e+5	1.09e+6	1.19e+6	1.29e+6	1.44e+6	1.53e+6	1.61e+6	1.70e+6	1.76e+6	
24	53		Cr	2.09e+7	-	1.58e+7	1.25e+7	1.05e+7	9.34e+6	8.48e+6	7.60e+6	6.79e+6	6.41e+6	6.45e+6	5.07e+6	
24	54		Cr	9.55e+5	-	1.16e+6	1.12e+6	9.55e+5	9.61e+5	9.79e+5	1.05e+6	1.02e+6	1.05e+6	1.07e+6	1.12e+6	
25	55		Mn	1.50e+7	-	9.54e+6	7.65e+6	6.80e+6	6.25e+6	5.74e+6	5.10e+6	4.69e+6	4.66e+6	4.14e+6	4.06e+6	
26	54		Fe	7.10e+6	-	6.84e+6	5.79e+6	5.13e+6	4.67e+6	4.33e+6	4.03e+6	3.94e+6	3.97e+6	4.15e+6	4.38e+6	
26	55		Fe	2.19e+7	-	1.48e+7	1.28e+7	1.19e+7	1.13e+7	1.10e+7	1.05e+7	1.02e+7	9.92e+6	9.53e+6	9.28e+6	
26	56		Fe	7.04e+5	-	8.21e+5	1.12e+6	1.37e+6	1.56e+6	1.71e+6	1.91e+6	2.00e+6	2.06e+6	2.06e+6	1.98e+6	
26	57		Fe	7.39e+6	-	7.28e+6	7.14e+6	6.85e+6	6.71e+6	6.54e+6	6.25e+6	5.82e+6	5.75e+6	5.64e+6	5.43e+6	
26	58		Fe	1.80e+6	-	1.97e+6	1.96e+6	1.99e+6	1.93e+6	1.97e+6	2.07e+6	2.06e+6	2.15e+6	2.29e+6	2.29e+6	
26	60		Fe	0.00e+0	-	0.00e+0	0.00e+0	0.00e+0	7.55e+5	7.52e+5	7.45e+5	7.35e+5	7.27e+5	7.15e+5	7.07e+5	
27	59		Co	6.86e+6	-	7.20e+6	6.78e+6	6.45e+6	6.11e+6	5.78e+6	5.62e+6	5.30e+6	4.73e+6	2.98e+6	2.21e+6	
28	58		Ni	2.28e+6	-	4.23e+6	4.97e+6	5.31e+6	5.51e+6	5.65e+6	5.90e+6	6.09e+6	6.22e+6	6.44e+6	6.51e+6	
28	59		Ni	2.42e+7	-	1.68e+7	1.48e+7	1.37e+7	1.32e+7	1.27e+7	1.21e+7	1.17e+7	1.15e+7	1.09e+7	1.04e+7	
28	60		Ni	4.15e+6	5.02e+6	5.13e+6	4.97e+6	4.72e+6	4.51e+6	4.37e+6	4.18e+6	4.09e+6	4.03e+6	3.98e+6	3.92e+6	
28	61		Ni	1.58e+7	-	1.49e+7	1.39e+7	1.31e+7	1.23e+7	1.16e+7	1.07e+7	1.01e+7	9.86e+6	9.67e+6	9.67e+6	
28	62		Ni	1.13e+7	-	7.14e+6	5.22e+6	4.22e+6	3.63e+6	3.26e+6	2.83e+6	2.64e+6	2.54e+6	2.46e+6	2.48e+6	
28	63		Ni	6.68e+6	-	5.56e+6	5.16e+6	4.88e+6	4.65e+6	4.49e+6	4.15e+6	3.69e+6	3.44e+6	3.09e+6	2.73e+6	
28	64		Ni	7.03e+5	-	1.15e+6	1.24e+6	1.23e+6	1.20e+6	1.17e+6	1.15e+6	1.15e+6	1.16e+6	1.22e+6	1.28e+6	
29	63		Cu	1.18e+7	-	9.19e+6	8.30e+6	8.03e+6	8.04e+6	8.13e+6	8.28e+6	8.80e+6	9.27e+6	9.30e+6	9.14e+6	
29	65		Cu	6.61e+6	-	4.85e+6	4.36e+6	4.24e+6	4.26e+6	4.35e+6	4.53e+6	4.52e+6	4.64e+6	4.67e+6	4.85e+6	
30	64		Zn	8.28e+6	-	9.10e+6	9.08e+6	8.94e+6	8.79e+6	8.61e+6	8.76e+6	8.86e+6	9.08e+6	9.53e+6	1.01e+7	
30	65		Zn	3.05e+7	-	2.64e+7	2.53e+7	2.44e+7	2.36e+7	2.29e+7	2.14e+7	2.03e+7	1.90e+7	1.74e+7	1.61e+7	
30	66		Zn	5.00e+6	-	5.81e+6	5.68e+6	5.36e+6	5.20e+6	5.11e+6	5.06e+6	5.28e+6	5.37e+6	5.96e+6	6.39e+6	
30	67		Zn	3.00e+7	-	2.68e+7	2.51e+7	2.38e+7	2.28e+7	2.22e+7	2.09e+7	1.99e+7	1.91e+7	1.79e+7	1.68e+7	
30	68		Zn	5.54e+6	-	4.04e+6	3.40e+6	3.10e+6	2.93e+6	2.80e+6	2.70e+6	2.64e+6	2.68e+6	2.86e+6	2.93e+6	
30	70		Zn	3.39e+6	-	3.20e+6	3.09e+6	3.13e+6	3.13e+6	3.14e+6	3.15e+6	3.18e+6	3.20e+6	3.26e+6	3.33e+6	
31	69		Ga	1.97e+7	-	2.00e+7	2.03e+7	2.07e+7	2.04e+7	2.03e+7	2.04e+7	2.13e+7	2.10e+7	2.06e+7	2.07e+7	
31	71		Ga	2.37e+7	-	2.10e+7	1.97e+7	1.89e+7	1.84e+7	1.79e+7	1.73e+7	1.69e+7	1.67e+7	1.64e+7	1.57e+7	
32	70		Ge	1.20e+7	-	1.22e+7	1.25e+7	1.26e+7	1.29e+7	1.28e+7	1.26e+7	1.30e+7	1.30e+7	1.31e+7	1.31e+7	
32	72		Ge	1.18e+7	-	1.12e+7	1.09e+7	1.08e+7	1.07e+7	1.06e+7	1.06e+7	1.07e+7	1.07e+7	1.12e+7	1.15e+7	
